ANK3
AOAH
BTBD9
CFAP61
CORIN
CPQ
DTNA
FGF13
GABRB1
KCNH8
KIF15
LOC104003986
LOC104007110
LOC104007643
LOC107966777
LOC107967540
LOC107970747
LOC107971718
LOC107973510
LOC107974123
LOC107975397
LOC112208398
LOC112208583
LOC451397
LOC465383
LOC740918
LRP1B
MIPEP
NMNAT2
NOTCH2
TBL1Y
TTC37
TTTY14
ZNF713
ZNF793
